Violation [domain=[4507008219_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508044379_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507036420_00040], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508060051_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508073052_00030], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507032463_00210], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507008348_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507023395_00040], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508052255_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508071776_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507004087_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507002306_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507026621_00080], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507038203_00140], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507016031_00080], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507002711_00170], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507013333_00040], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507011880_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507016118_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507018405_00030], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508066067_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507015198_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508068522_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507041754_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508062250_00040], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508044169_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507035113_00040], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507036967_00200], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508048265_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507027404_00110], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508063355_00030], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508065615_00100], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507008897_00050], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507031488_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507031194_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508052354_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508062284_00050], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507012379_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507014067_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508042558_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507008359_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507022954_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507036743_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507031767_00130], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508073049_00030], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507030253_00100], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508049270_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508066632_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508045358_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507027229_00030], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507015157_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507011186_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507027236_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507023479_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508052170_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507005731_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508057051_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508062051_00120], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507009155_00120], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507036971_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507031429_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508047197_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508043107_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507035631_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508044356_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508057048_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507005739_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507036968_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508058569_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508066632_00130], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508061233_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508066097_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507033025_00050], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507033024_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507038203_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507029130_00040], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507029137_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507002428_00040], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507017733_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507016990_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508050571_00040], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507021288_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508066010_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507020069_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507011156_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507024926_00090], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507030651_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508049488_00110], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508042657_00360], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508048824_00040], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507033189_00070], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507022913_00150], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507024826_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507035389_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507032117_00340], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
